simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
窃,(U+7A83),竊,(U+7ACA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,46,11308
廪,(U+5EEA),廩,(U+5EE9),opencc_s2t;unihan_simplified;unihan_traditional,46,1635
构,(U+6784),構,(U+69CB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,46,6235
纒,,纏,,,45,24265
裵,,裴,,,45,6440
㞐,,居,,,44,188637
晋,(U+664B),晉,(U+6649),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,44,49558
𨙻,U-0002867B,𨚗,U-00028697,,44,774
笔,(U+7B14),筆,(U+7B46),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,44,19985
侣,(U+4FA3),侶,(U+4FB6),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,43,9519
簒,,篡,,,43,1368
梦,(U+68A6),夢,(U+5922),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,43,65099
秆,(U+79C6),稈,(U+7A08),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,41,307
滛,,淫,,,40,8574
黄,(U+9EC4),黃,(U+9EC3),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,40,86631
菐,,業,,,39,337321
煴,(U+7174),熅,(U+7185),opencc_s2t;unihan_simplified;unihan_traditional,39,309
済,,濟,,,38,69690
痹,(U+75F9),痺,(U+75FA),tw_simplified_to_traditional,38,335
㫺,,昔,,,38,75764
芦,(U+82A6),蘆,(U+8606),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,37,7015
冦,,寇,,,37,9354
优,(U+4F18),優,(U+512A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,37,50300
䜟,,讖,,,36,5384
攺,,改,,,36,69988
状,(U+72B6),狀,(U+72C0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,35,27127
抛,(U+629B),拋,(U+62CB),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,34,6435
𩀱,,雙,,,34,57243
隐,(U+9690),隱,(U+96B1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,33,77664
