simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
阃,(U+9603),閫,(U+95AB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1761
阂,(U+9602),閡,(U+95A1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2877
阁,(U+9601),閣,(U+95A3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,23836
阌,(U+960C),閿,(U+95BF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,151
镝,(U+955D),鏑,(U+93D1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,263
镜,(U+955C),鏡,(U+93E1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,40885
镛,(U+955B),鏞,(U+93DE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,213
镙,(U+9559),鏍,(U+93CD),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,0,11
镘,(U+9558),鏝,(U+93DD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,59
镗,(U+9557),鏜,(U+93DC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,66
镖,(U+9556),鏢,(U+93E2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,72
镕,(U+9555),鎔,(U+9394),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2665
镔,(U+9554),鑌,(U+944C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,180
闩,(U+95E9),閂,(U+9582),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,202
镑,(U+9551),鎊,(U+938A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11
镐,(U+9550),鎬,(U+93AC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,410
镏,(U+954F),鎦,(U+93A6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,50
镍,(U+954D),鎳,(U+93B3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
镊,(U+954A),鑷,(U+9477),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,335
镉,(U+9549),鎘,(U+9398),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3
镈,(U+9548),鎛,(U+939B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,230
镇,(U+9547),鎮,(U+93AE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,28735
镆,(U+9546),鏌,(U+93CC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,350
镒,(U+9552),鎰,(U+93B0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,317
门,(U+95E8),門,(U+9580),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,562458
长,(U+957F),長,(U+9577),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,298474
镶,(U+9576),鑲,(U+9472),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,43
镵,(U+9575),鑱,(U+9471),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,257
镴,(U+9574),鑞,(U+945E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,437
镳,(U+9573),鑣,(U+9463),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,349
镯,(U+956F),鐲,(U+9432),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,62
镮,(U+956E),鐶,(U+9436),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,700
镭,(U+956D),鐳,(U+9433),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6
镞,(U+955E),鏃,(U+93C3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1057
镫,(U+956B),鐙,(U+9419),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1493
镪,(U+956A),鏹,(U+93F9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,107
镩,(U+9569),鑹,(U+9479),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,74
镧,(U+9567),鑭,(U+946D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5
镦,(U+9566),鐓,(U+9413),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,26
镤,(U+9564),鏷,(U+93F7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3
镣,(U+9563),鐐,(U+9410),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,81
镡,(U+9561),鐔,(U+9414),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,297
镠,(U+9560),鏐,(U+93D0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,293
镟,(U+955F),鏇,(U+93C7),opencc_s2t;unihan_simplified;unihan_traditional,0,97
镬,(U+956C),鑊,(U+944A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3112
违,(U+8FDD),違,(U+9055),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,79878
进,(U+8FDB),進,(U+9032),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,177245
这,(U+8FD9),這,(U+9019),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,120617
运,(U+8FD0),運,(U+904B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,44747
辽,(U+8FBD),遼,(U+907C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6276
辫,(U+8FAB),辮,(U+8FAE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,348
辩,(U+8FA9),辯,(U+8FAF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,52180
辚,(U+8F9A),轔,(U+8F54),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,102
辙,(U+8F99),轍,(U+8F4D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4760
铣,(U+94E3),銑,(U+9291),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,637
辗,(U+8F97),輾,(U+8F3E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,789
辖,(U+8F96),轄,(U+8F44),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,768
辕,(U+8F95),轅,(U+8F45),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3104
辔,(U+8F94),轡,(U+8F61),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1184
输,(U+8F93),輸,(U+8F38),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13709
辑,(U+8F91),輯,(U+8F2F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5539
辐,(U+8F90),輻,(U+8F3B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2704
辏,(U+8F8F),輳,(U+8F33),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,399
辎,(U+8F8E),輜,(U+8F1C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,507
辘,(U+8F98),轆,(U+8F46),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,876
酦,(U+9166),醱,(U+91B1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,10
酝,(U+915D),醞,(U+919E),opencc_s2t;unihan_simplified;unihan_traditional,0,448
酂,(U+9142),酇,(U+9147),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,320
郸,(U+90F8),鄲,(U+9132),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,689
郧,(U+90E7),鄖,(U+9116),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,244
郦,(U+90E6),酈,(U+9148),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,437
郓,(U+90D3),鄆,(U+9106),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,550
郐,(U+90D0),鄶,(U+9136),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,51
郏,(U+90CF),郟,(U+90DF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,137
连,(U+8FDE),連,(U+9023),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,47365
邺,(U+90BA),鄴,(U+9134),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4916
邹,(U+90B9),鄒,(U+9112),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1299
邮,(U+90AE),郵,(U+90F5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1207
邬,(U+90AC),鄔,(U+9114),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5042
邝,(U+909D),鄺,(U+913A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,36
逦,(U+9026),邐,(U+9090),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,424
逊,(U+900A),遜,(U+905C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4989
选,(U+9009),選,(U+9078),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,16448
迟,(U+8FDF),遲,(U+9072),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13693
邻,(U+90BB),鄰,(U+9130),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5986
轶,(U+8F76),軼,(U+8EFC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,704
轵,(U+8F75),軹,(U+8EF9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,169
轴,(U+8F74),軸,(U+8EF8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4371
轳,(U+8F73),轤,(U+8F64),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,273
轲,(U+8F72),軻,(U+8EFB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1117
轱,(U+8F71),軲,(U+8EF2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
轰,(U+8F70),轟,(U+8F5F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1960
软,(U+8F6F),軟,(U+8EDF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12810
轮,(U+8F6E),輪,(U+8F2A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,120379
辍,(U+8F8D),輟,(U+8F1F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3122
转,(U+8F6C),轉,(U+8F49),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,244430
轫,(U+8F6B),軔,(U+8ED4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,208
轪,(U+8F6A),軑,(U+8ED1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,30
轩,(U+8F69),軒,(U+8ED2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8884
轨,(U+8F68),軌,(U+8ECC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,21947
轧,(U+8F67),軋,(U+8ECB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,395
车,(U+8F66),車,(U+8ECA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,57148
躯,(U+8EAF),軀,(U+8EC0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5733
躜,(U+8E9C),躦,(U+8EA6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3
轭,(U+8F6D),軛,(U+8EDB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1988
辌,(U+8F8C),輬,(U+8F2C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,134
辋,(U+8F8B),輞,(U+8F1E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,753
辊,(U+8F8A),輥,(U+8F25),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1770
辉,(U+8F89),輝,(U+8F1D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,10995
辈,(U+8F88),輩,(U+8F29),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,18082
辇,(U+8F87),輦,(U+8F26),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3327
辆,(U+8F86),輛,(U+8F1B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,185
辅,(U+8F85),輔,(U+8F14),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,18912
辄,(U+8F84),輒,(U+8F12),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12603
轸,(U+8F78),軫,(U+8EEB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2247
辂,(U+8F82),輅,(U+8F05),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1697
辁,(U+8F81),輇,(U+8F07),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9
辀,(U+8F80),輈,(U+8F08),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,181
轿,(U+8F7F),轎,(U+8F4E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,375
轾,(U+8F7E),輊,(U+8F0A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,122
载,(U+8F7D),載,(U+8F09),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,47227
轼,(U+8F7C),軾,(U+8EFE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1187
轻,(U+8F7B),輕,(U+8F15),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,70562
轺,(U+8F7A),軺,(U+8EFA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,217
轹,(U+8F79),轢,(U+8F62),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1029
较,(U+8F83),較,(U+8F03),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14735
铋,(U+94CB),鉍,(U+924D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
铊,(U+94CA),鉈,(U+9248),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12
铉,(U+94C9),鉉,(U+9249),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,591
铈,(U+94C8),鈰,(U+9230),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9
铇,(U+94C7),鉋,(U+924B),opencc_s2t;unihan_simplified;unihan_traditional,0,51
铆,(U+94C6),鉚,(U+925A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6
铅,(U+94C5),鉛,(U+925B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1124
铄,(U+94C4),鑠,(U+9460),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1249
铃,(U+94C3),鈴,(U+9234),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5866
酱,(U+9171),醬,(U+91AC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1219
铁,(U+94C1),鐵,(U+9435),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,37774
铀,(U+94C0),鈾,(U+923E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,10
钿,(U+94BF),鈿,(U+923F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,412
钾,(U+94BE),鉀,(U+9240),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,315
钽,(U+94BD),鉭,(U+926D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
钼,(U+94BC),鉬,(U+926C),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
钺,(U+94BA),鉞,(U+925E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1653
钹,(U+94B9),鈸,(U+9238),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,526
钸,(U+94B8),鈽,(U+923D),opencc_s2t;unihan_simplified;unihan_traditional,0,2
铂,(U+94C2),鉑,(U+9251),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
铢,(U+94E2),銖,(U+9296),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1830
铠,(U+94E0),鎧,(U+93A7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4180
铟,(U+94DF),銦,(U+92A6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
铜,(U+94DC),銅,(U+9285),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14481
铛,(U+94DB),鐺,(U+943A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1247
铚,(U+94DA),銍,(U+928D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,112
铙,(U+94D9),鐃,(U+9403),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,613
铘,(U+94D8),鋣,(U+92E3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,32
铗,(U+94D7),鋏,(U+92CF),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,65
铌,(U+94CC),鈮,(U+922E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13
铕,(U+94D5),銪,(U+92AA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
铔,(U+94D4),錏,(U+930F),opencc_s2t;unihan_simplified;unihan_traditional,0,11
铓,(U+94D3),鋩,(U+92E9),opencc_s2t;unihan_simplified;unihan_traditional,0,880
铒,(U+94D2),鉺,(U+927A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,39
铑,(U+94D1),銠,(U+92A0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
铐,(U+94D0),銬,(U+92AC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5
铏,(U+94CF),鉶,(U+9276),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,26
铎,(U+94CE),鐸,(U+9438),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2839
铍,(U+94CD),鈹,(U+9239),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,72
铖,(U+94D6),鋮,(U+92EE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,22
钛,(U+949B),鈦,(U+9226),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
钙,(U+9499),鈣,(U+9223),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12
钗,(U+9497),釵,(U+91F5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,922
钖,(U+9496),鍚,(U+935A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,321
钔,(U+9494),鍆,(U+9346),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
钓,(U+9493),釣,(U+91E3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,5538
钒,(U+9492),釩,(U+91E9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
钑,(U+9491),鈒,(U+9212),opencc_s2t;unihan_simplified;unihan_traditional,0,47
钐,(U+9490),釤,(U+91E4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,475
钶,(U+94B6),鈳,(U+9233),opencc_s2t;unihan_simplified;unihan_traditional,0,6
钍,(U+948D),釷,(U+91F7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8
钌,(U+948C),釕,(U+91D5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
钋,(U+948B),釙,(U+91D9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6
钊,(U+948A),釗,(U+91D7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,383
钉,(U+9489),釘,(U+91D8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4391
錾,(U+933E),鏨,(U+93E8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,81
酿,(U+917F),釀,(U+91C0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,840
酾,(U+917E),釃,(U+91C3),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,82
酽,(U+917D),釅,(U+91C5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,116
钏,(U+948F),釧,(U+91E7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1441
钴,(U+94B4),鈷,(U+9237),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,571
钳,(U+94B3),鉗,(U+9257),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3242
钲,(U+94B2),鉦,(U+9266),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,205
钱,(U+94B1),錢,(U+9322),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,38540
钰,(U+94B0),鈺,(U+923A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,85
钯,(U+94AF),鈀,(U+9200),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11
钮,(U+94AE),鈕,(U+9215),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,330
钭,(U+94AD),鈄,(U+9204),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,17
钬,(U+94AC),鈥,(U+9225),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
钜,(U+949C),鉅,(U+9245),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2324
钨,(U+94A8),鎢,(U+93A2),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,26
钧,(U+94A7),鈞,(U+921E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2432
钦,(U+94A6),欽,(U+6B3D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13886
钤,(U+94A4),鈐,(U+9210),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,511
钣,(U+94A3),鈑,(U+9211),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6
钢,(U+94A2),鋼,(U+92FC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,543
钡,(U+94A1),鋇,(U+92C7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4
钠,(U+94A0),鈉,(U+9209),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,8
钞,(U+949E),鈔,(U+9214),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,26864
钝,(U+949D),鈍,(U+920D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,19422
钪,(U+94AA),鈧,(U+9227),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14
鲒,(U+9C92),鮚,(U+9B9A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,22
鲑,(U+9C91),鮭,(U+9BAD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,48
鲐,(U+9C90),鮐,(U+9B90),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,46
鲏,(U+9C8F),鮍,(U+9B8D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
鲎,(U+9C8E),鱟,(U+9C5F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
鲍,(U+9C8D),鮑,(U+9B91),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1283
鲌,(U+9C8C),鮊,(U+9B8A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1
鲋,(U+9C8B),鮒,(U+9B92),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,80
鲊,(U+9C8A),鮓,(U+9B93),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,87
阖,(U+9616),闔,(U+95D4),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2598
鲇,(U+9C87),鮎,(U+9B8E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,94
鲂,(U+9C82),魴,(U+9B74),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,171
鲁,(U+9C81),魯,(U+9B6F),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,13513
鲀,(U+9C80),魨,(U+9B68),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12
鱽,(U+9C7D),魛,(U+9B5B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,12
鱼,(U+9C7C),魚,(U+9B5A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,28009
魉,(U+9B49),魎,(U+9B4E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,732
魇,(U+9B47),魘,(U+9B58),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,647
鬓,(U+9B13),鬢,(U+9B22),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1612
鲈,(U+9C88),鱸,(U+9C78),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,50
鲭,(U+9CAD),鯖,(U+9BD6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,33
鲫,(U+9CAB),鯽,(U+9BFD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,41
鲩,(U+9CA9),鯇,(U+9BC7),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4
鲨,(U+9CA8),鯊,(U+9BCA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9
鲧,(U+9CA7),鯀,(U+9BC0),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,195
鲦,(U+9CA6),鰷,(U+9C37),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,2
鲥,(U+9CA5),鰣,(U+9C23),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,11
鲤,(U+9CA4),鯉,(U+9BC9),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,1236
鲣,(U+9CA3),鰹,(U+9C39),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,3
鲔,(U+9C94),鮪,(U+9BAA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,185
鲡,(U+9CA1),鱺,(U+9C7A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,4
鲠,(U+9CA0),鯁,(U+9BC1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,526
鲟,(U+9C9F),鱘,(U+9C58),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7
鲛,(U+9C9B),鮫,(U+9BAB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,153
鲚,(U+9C9A),鱭,(U+9C6D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,6
鲙,(U+9C99),鱠,(U+9C60),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,163
鲗,(U+9C97),鰂,(U+9C02),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,14
鲖,(U+9C96),鮦,(U+9BA6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,68
鲕,(U+9C95),鮞,(U+9B9E),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,9
鲢,(U+9CA2),鰱,(U+9C31),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,0,7
