docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0074,太上說九幽拔罪心印妙經,,,,,,Lingbao,Scriptures,,,,,太上說九幽拔罪心印妙經,Taishang shuo jiuyou bazui xinyin miaojing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0075,元始天尊說甘露昇天神咒妙經,,,,,,Lingbao,Scriptures,,,,,元始天尊說甘露昇天神咒妙經,Yuanshi tianzun shuo ganlu shengtian shenzhou miaojing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0076,元始說功德法食往生經,,,,,,Lingbao,Scriptures,,,,,元始說功德法食往生經,Yuanshi shuo gongde fashi wangsheng jing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0077,太上玉華洞章拔亡度世昇仙妙經,,,,,,Lingbao,Scriptures,,,1143,,太上玉華洞章拔亡度世昇仙妙經,Taishang yuhua dongzhang bawang dushi shengxian miaojing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0078,太上三洞神咒,,,,,,Lingbao,Manuals,,Ming,1386,1644,太上三洞神咒,Taishang sandong shenzhou,,,,,,,,12,Lingbao,Manuals,,,,,
DZ0079,三洞神符記,,,,,,The Qingwei School,,,,,,三洞神符記,Sandong shenfu ji ,,,,,,,,1,The Qingwei School,,,,,,
DZ0080,雲篆度人妙經,,,,,,The Qingwei School,,,,,,雲篆度人妙經,Yunzhuan duren miaojing,,,,,,,,1,The Qingwei School,,,,,,
DZ0081,洞真太微黃書天帝君石景金陽素經,,,,,,Shangqing,Other Early Shangqing Scriptures,,Six Dynasties,220,589,洞真太微黃書天帝君石景金陽素經,Dongzhen taiwei huangshu tiandijun shijing jinyang sujing,,,,,,,,1,Shangqing,Other Early Shangqing Scriptures,,,,DZTK 192: The colophon is of the kind written by Xu RONGDI,
DZ0082,上清洞真元經五籍符,,,,,,Shangqing,Canonical Shangqing Scriptures,,Six Dynasties,220,589,上清洞真元經五籍符,Shangqing dongzhen yuanjing wuji fu,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,,,,
DZ0083,白羽黑翮靈飛玉符,,,,,,Shangqing,Canonical Shangqing Scriptures,,Six Dynasties,220,589,白羽黑翮靈飛玉符,Boyu heihe lingfei yufu,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,,,,
